Overexpressed proteins,Gene_ID,UniProt,gene_xkl
SRC,SRC,P12931,SRC
PDK1,PDPK1,O15530,PDPK1
AKT1,AKT1,P31749,AKT1
GSK3b,GSK3B,P49841,GSK3B
MKK7,MAP2K7,O14733,MAP2K7
MKK6,MAP2K6,P52564,MAP2K6
p38a,MAPK14,Q16539,MAPK14
ERK2,MAPK1,P28482,MAPK1
p90RSK,RPS6KA1,Q15418,RPS6KA1
CRAF,RAF1,P04049,CRAF
JNK1,MAPK8,P45983,MAP8
p110a,PIK3CA,P42336,PIK3CA
BRAF,BRAF,P15056,BRAF
ASK1,MAP3K5,Q99683,MAP3K5
p70S6K,RPS6KB1,P23443,RPS6KB1
MEK1,MAP2K1,Q02750,MAP2K1
KRAS,KRAS,P01116,KRAS
HRAS,HRAS,P01112,HRAS
SHP2,PTPN11,Q06124,PTPN11
S6,RPS6,P62753,RPS6
